# paso_L0	Cd	Cl	mismatch
57800	1.52551	-0.65315	0.00000
57900	1.52590	-0.61592	0.00000
58000	1.51686	-0.55850	0.00000
58100	1.50617	-0.47875	0.00000
58200	1.48326	-0.38261	0.00000
58300	1.45736	-0.26128	0.00000
58400	1.43214	-0.13191	0.00000
58500	1.41331	0.01082	0.00000
58600	1.39097	0.14931	0.00000
58700	1.38372	0.28694	0.00000
58800	1.38101	0.42749	0.00000
58900	1.38494	0.55121	0.00000
59000	1.39776	0.65006	0.00000
59100	1.42325	0.72914	0.00000
59200	1.43339	0.78317	0.00000
59300	1.43683	0.80810	0.00000
59400	1.45301	0.80411	0.00000
59500	1.45626	0.76961	0.00000
59600	1.45078	0.71445	0.00000
59700	1.44865	0.63139	0.00000
59800	1.43667	0.52743	0.00000
59900	1.41990	0.41287	0.00000
60000	1.40923	0.28188	0.00000
